,state,population
8,Alabama,5074296.0
9,Alaska,733583.0
10,Arizona,7359197.0
11,Arkansas,3045637.0
12,California,39029342.0
13,Colorado,5839926.0
15,Delaware,1018396.0
17,Florida,22244823.0
18,Georgia,10912876.0
19,Hawaii,1440196.0
20,Idaho,1939033.0
21,Illinois,12582032.0
22,Indiana,6833037.0
23,Iowa,3200517.0
24,Kansas,2937150.0
25,Kentucky,4512310.0
26,Louisiana,4590241.0
27,Maine,1385340.0
28,Maryland,6164660.0
29,Massachusetts,6981974.0
30,Michigan,10034113.0
31,Minnesota,5717184.0
32,Mississippi,2940057.0
33,Missouri,6177957.0
34,Montana,1122867.0
36,Nevada,3177772.0
37,New Hampshire,1395231.0
38,New Jersey,9261699.0
39,New Mexico,2113344.0
40,New York,19677151.0
41,North Carolina,10698973.0
42,North Dakota,779261.0
43,Ohio,11756058.0
44,Oklahoma,4019800.0
45,Oregon,4240137.0
46,Pennsylvania,12972008.0
47,Rhode Island,1093734.0
48,South Carolina,5282634.0
49,South Dakota,909824.0
50,Tennessee,7051339.0
51,Texas,30029572.0
52,Utah,3380800.0
53,Vermont,647064.0
54,Virginia,8683619.0
55,Washington,7785786.0
56,West Virginia,1775156.0
57,Wisconsin,5892539.0
58,Wyoming,581381.0
